,Count_S,Count_E,Count_I,Count_R,Infections_Home,Infections_GQ,Infections_Work,Infections_School,Infections_Community
369,33,11,351,688,0,0,0,0,0
370,33,11,346,693,0,0,0,0,0
371,33,11,336,703,0,0,0,0,0
372,33,11,328,711,0,0,0,0,0
373,33,10,325,715,0,0,0,0,0
374,33,10,319,721,0,0,0,0,0
375,33,10,307,733,0,0,0,0,0
376,33,10,300,740,0,0,0,0,0
377,33,8,295,747,0,0,0,0,0
378,32,9,289,753,1,0,0,0,0
379,32,8,283,760,0,0,0,0,0
380,30,10,274,769,1,0,0,0,1
381,30,10,268,775,0,0,0,0,0
382,30,9,263,781,0,0,0,0,0
383,30,7,262,784,0,0,0,0,0
384,30,7,258,788,0,0,0,0,0
385,30,7,253,793,0,0,0,0,0
386,30,6,251,796,0,0,0,0,0
387,30,6,248,799,0,0,0,0,0
388,30,6,245,802,0,0,0,0,0
389,30,6,239,808,0,0,0,0,0
390,30,6,235,812,0,0,0,0,0
391,30,6,231,816,0,0,0,0,0
392,30,6,229,818,0,0,0,0,0
393,29,7,224,823,1,0,0,0,0
394,29,6,223,825,0,0,0,0,0
395,29,6,219,829,0,0,0,0,0
396,29,6,214,834,0,0,0,0,0
397,29,6,206,842,0,0,0,0,0
398,29,6,201,847,0,0,0,0,0
399,29,6,199,849,0,0,0,0,0
400,29,6,196,852,0,0,0,0,0
401,29,6,192,856,0,0,0,0,0
402,29,6,187,861,0,0,0,0,0
403,29,6,183,865,0,0,0,0,0
404,29,5,183,866,0,0,0,0,0
405,29,5,180,869,0,0,0,0,0
406,28,6,179,870,0,0,0,0,1
407,28,6,175,874,0,0,0,0,0
408,28,6,171,878,0,0,0,0,0
409,28,6,167,882,0,0,0,0,0
410,28,6,162,887,0,0,0,0,0
411,28,5,158,892,0,0,0,0,0
412,28,5,157,893,0,0,0,0,0
413,28,5,154,896,0,0,0,0,0
414,28,5,152,898,0,0,0,0,0
415,28,5,149,901,0,0,0,0,0
416,28,5,147,903,0,0,0,0,0
417,28,5,145,905,0,0,0,0,0
418,28,5,145,905,0,0,0,0,0
419,28,5,142,908,0,0,0,0,0
420,28,5,137,913,0,0,0,0,0
421,28,5,137,913,0,0,0,0,0
422,28,5,134,916,0,0,0,0,0
423,28,5,134,916,0,0,0,0,0
424,28,4,133,918,0,0,0,0,0
425,27,4,132,920,1,0,0,0,0
426,27,4,131,921,0,0,0,0,0
427,27,4,129,923,0,0,0,0,0
428,26,5,127,925,0,0,0,0,1
429,26,5,125,927,0,0,0,0,0
430,25,6,122,930,0,0,0,0,1
431,25,6,119,933,0,0,0,0,0
432,25,6,117,935,0,0,0,0,0
433,25,6,114,938,0,0,0,0,0
434,25,6,111,941,0,0,0,0,0
435,25,6,108,944,0,0,0,0,0
436,24,7,108,944,1,0,0,0,0
437,24,7,107,945,0,0,0,0,0
438,24,7,104,948,0,0,0,0,0
439,24,6,105,948,0,0,0,0,0
440,24,6,105,948,0,0,0,0,0
441,24,5,106,948,0,0,0,0,0
442,24,5,105,949,0,0,0,0,0
443,24,5,104,950,0,0,0,0,0
444,24,5,104,950,0,0,0,0,0
445,24,5,103,951,0,0,0,0,0
446,24,5,101,953,0,0,0,0,0
447,24,5,99,955,0,0,0,0,0
448,24,4,98,957,0,0,0,0,0
449,24,4,97,958,0,0,0,0,0
450,24,4,95,960,0,0,0,0,0
451,24,4,93,962,0,0,0,0,0
452,24,4,93,962,0,0,0,0,0
453,24,4,91,964,0,0,0,0,0
454,24,4,91,964,0,0,0,0,0
455,24,4,89,966,0,0,0,0,0
456,24,4,88,967,0,0,0,0,0
457,24,4,88,967,0,0,0,0,0
458,24,4,87,968,0,0,0,0,0
459,24,4,85,970,0,0,0,0,0
460,24,3,84,972,0,0,0,0,0
461,24,3,83,973,0,0,0,0,0
462,24,3,80,976,0,0,0,0,0
463,24,3,79,977,0,0,0,0,0
464,24,3,79,977,0,0,0,0,0
465,24,3,75,981,0,0,0,0,0
466,24,3,74,982,0,0,0,0,0
467,24,3,72,984,0,0,0,0,0
468,24,3,69,987,0,0,0,0,0
469,24,3,67,989,0,0,0,0,0
470,24,3,66,990,0,0,0,0,0
471,24,2,67,990,0,0,0,0,0
472,24,2,67,990,0,0,0,0,0
473,24,2,65,992,0,0,0,0,0
474,23,3,65,992,0,0,0,0,1
475,23,3,65,992,0,0,0,0,0
476,22,4,65,992,1,0,0,0,0
477,22,4,65,992,0,0,0,0,0
478,21,5,64,993,0,0,0,0,1
479,21,5,63,994,0,0,0,0,0
480,20,6,63,994,0,0,0,0,1
481,20,6,63,994,0,0,0,0,0
482,20,6,62,995,0,0,0,0,0
483,20,6,61,996,0,0,0,0,0
484,20,6,61,996,0,0,0,0,0
485,20,6,60,997,0,0,0,0,0
486,20,6,60,997,0,0,0,0,0
487,20,6,59,998,0,0,0,0,0
488,20,5,60,998,0,0,0,0,0
489,20,5,60,998,0,0,0,0,0
490,20,5,60,998,0,0,0,0,0
491,20,5,60,998,0,0,0,0,0
492,20,5,59,999,0,0,0,0,0
493,20,5,58,1000,0,0,0,0,0
494,20,5,57,1001,0,0,0,0,0
495,20,5,56,1002,0,0,0,0,0
496,20,5,54,1004,0,0,0,0,0
497,20,5,53,1005,0,0,0,0,0
498,20,5,50,1008,0,0,0,0,0
499,20,5,48,1010,0,0,0,0,0
500,20,4,48,1011,0,0,0,0,0
501,20,4,47,1012,0,0,0,0,0
502,20,4,47,1012,0,0,0,0,0
503,20,4,47,1012,0,0,0,0,0
504,20,4,47,1012,0,0,0,0,0
505,20,4,46,1013,0,0,0,0,0
506,20,4,46,1013,0,0,0,0,0
507,20,4,46,1013,0,0,0,0,0
508,20,4,46,1013,0,0,0,0,0
509,20,4,46,1013,0,0,0,0,0
510,20,4,44,1015,0,0,0,0,0
511,20,3,45,1015,0,0,0,0,0
512,20,3,44,1016,0,0,0,0,0
513,20,3,42,1018,0,0,0,0,0
514,20,3,41,1019,0,0,0,0,0
515,20,3,40,1020,0,0,0,0,0
516,20,3,40,1020,0,0,0,0,0
517,20,3,40,1020,0,0,0,0,0
518,20,2,40,1021,0,0,0,0,0
519,20,2,40,1021,0,0,0,0,0
520,20,2,40,1021,0,0,0,0,0
521,18,4,39,1022,2,0,0,0,0
522,18,4,37,1024,0,0,0,0,0
523,18,4,35,1026,0,0,0,0,0
524,18,4,33,1028,0,0,0,0,0
525,18,4,33,1028,0,0,0,0,0
526,18,4,33,1028,0,0,0,0,0
527,18,4,33,1028,0,0,0,0,0
528,18,4,32,1029,0,0,0,0,0
529,18,4,32,1029,0,0,0,0,0
530,18,4,32,1029,0,0,0,0,0
531,18,4,32,1029,0,0,0,0,0
532,18,4,32,1029,0,0,0,0,0
533,18,4,31,1030,0,0,0,0,0
534,18,4,31,1030,0,0,0,0,0
535,18,3,32,1030,0,0,0,0,0
536,18,2,33,1030,0,0,0,0,0
537,18,2,32,1031,0,0,0,0,0
538,18,2,32,1031,0,0,0,0,0
539,18,2,32,1031,0,0,0,0,0
540,18,2,32,1031,0,0,0,0,0
541,18,2,30,1033,0,0,0,0,0
542,18,2,30,1033,0,0,0,0,0
543,18,2,29,1034,0,0,0,0,0
544,18,2,29,1034,0,0,0,0,0
545,18,2,29,1034,0,0,0,0,0
546,18,2,29,1034,0,0,0,0,0
547,18,2,27,1036,0,0,0,0,0
548,18,2,27,1036,0,0,0,0,0
549,18,2,26,1037,0,0,0,0,0
550,18,2,25,1038,0,0,0,0,0
551,18,2,25,1038,0,0,0,0,0
552,18,2,25,1038,0,0,0,0,0
553,18,2,25,1038,0,0,0,0,0
554,18,2,24,1039,0,0,0,0,0
555,18,2,23,1040,0,0,0,0,0
556,18,2,23,1040,0,0,0,0,0
557,18,2,23,1040,0,0,0,0,0
558,18,2,23,1040,0,0,0,0,0
559,18,2,21,1042,0,0,0,0,0
